Product ID,Product Name,Product Description,Product Brand Name,Size Availability,Colors Available,Stock Availability,Price,Online Store Link
VIK1000,Casual T-Shirt,"Soft cotton casual t-shirt, breathable fabric, loose fit, durable stitching",Vikshaka,"S,M,L,XL","Red,Blue,Black","Red:10, Blue:15, Black:12",$20,https://vikshaka.com/product/1000
VIK1001,Formal Shirt,"Slim-fit cotton formal shirt, wrinkle-resistant, lightweight and elegant",Vikshaka,"S,M,L,XL","White,Blue,Grey","White:8, Blue:14, Grey:10",$35,https://vikshaka.com/product/1001
VIK1002,Summer Dress,"Floral printed summer dress, lightweight georgette, airy and flowy fit",Vikshaka,"S,M,L","Yellow,Pink,Blue","Yellow:12, Pink:10, Blue:9",$45,https://vikshaka.com/product/1002
VIK1003,Denim Jeans,"Classic blue denim jeans, stretchable fabric, slim fit, rugged finish",Vikshaka,"28,30,32,34","Blue,Black,Grey","Blue:14, Black:12, Grey:10",$40,https://vikshaka.com/product/1003
VIK1004,Woolen Sweater,"Warm woolen sweater, soft knit, comfortable for winter, full sleeves",Vikshaka,"S,M,L,XL","Red,Green,Black","Red:11, Green:10, Black:8",$50,https://vikshaka.com/product/1004
VIK1005,Leather Jacket,"Genuine leather jacket, zip closure, stylish fit, durable and premium quality",Vikshaka,"M,L,XL","Black,Brown","Black:9, Brown:7",$120,https://vikshaka.com/product/1005
VIK1006,Maxi Skirt,"Flowy maxi skirt, rayon fabric, soft texture, elegant drape",Vikshaka,"S,M,L","Red,Blue","Red:12, Blue:10",$30,https://vikshaka.com/product/1006
VIK1007,Kurti Top,"Cotton kurti top, hand-embroidered detailing, breathable and casual wear",Vikshaka,"S,M,L,XL","Pink,Orange,White","Pink:14, Orange:12, White:9",$25,https://vikshaka.com/product/1007
VIK1008,Sports Shoes,"Lightweight sports shoes, cushioned sole, breathable mesh, flexible grip",Vikshaka,"7,8,9,10","Black,White,Grey","Black:10, White:12, Grey:11",$60,https://vikshaka.com/product/1008
VIK1009,Handbag,"Premium leather handbag, spacious compartments, strong straps, stylish design",Vikshaka,Standard,"Brown,Black","Brown:8, Black:10",$80,https://vikshaka.com/product/1009
VIK1010,Necklace,"Gold-plated necklace, elegant design, lightweight and skin-friendly",Vikshaka,Standard,"Gold,Silver","Gold:15, Silver:10",$150,https://vikshaka.com/product/1010
VIK1011,Earrings,"Silver-plated earrings, intricate design, anti-tarnish finish, lightweight",Vikshaka,Standard,"Silver,Gold","Silver:12, Gold:10",$60,https://vikshaka.com/product/1011
VIK1012,Bracelet,"Beaded bracelet, elastic fit, durable string, stylish everyday accessory",Vikshaka,Standard,"Black,Red","Black:9, Red:14",$20,https://vikshaka.com/product/1012
VIK1013,Ring,"Sterling silver ring, polished finish, adjustable size, minimal design",Vikshaka,Standard,"Silver,Gold","Silver:10, Gold:8",$70,https://vikshaka.com/product/1013
VIK1014,Sunglasses,"UV-protected sunglasses, lightweight frame, scratch-resistant lenses",Vikshaka,Standard,"Black,Brown","Black:12, Brown:11",$55,https://vikshaka.com/product/1014
VIK1015,Watch,"Analog wristwatch, stainless steel strap, water-resistant, elegant look",Vikshaka,Standard,"Silver,Black","Silver:10, Black:9",$90,https://vikshaka.com/product/1015
VIK1016,Scarf,"Soft wool scarf, lightweight, warm and stylish winter accessory",Vikshaka,Standard,"Red,Blue,White","Red:13, Blue:14, White:12",$25,https://vikshaka.com/product/1016
VIK1017,Belt,"Genuine leather belt, sturdy buckle, durable and stylish everyday wear",Vikshaka,"M,L,XL","Black,Brown","Black:12, Brown:11",$35,https://vikshaka.com/product/1017
VIK1018,Cap,"Cotton baseball cap, adjustable strap, breathable and lightweight",Vikshaka,Standard,"Blue,Black","Blue:14, Black:13",$15,https://vikshaka.com/product/1018
VIK1019,Wallet,"Compact leather wallet, multiple card slots, durable stitching",Vikshaka,Standard,"Brown,Black","Brown:10, Black:8",$30,https://vikshaka.com/product/1019
VIK1020,Anklet,"Silver anklet with charms, adjustable length, durable clasp",Vikshaka,Standard,Silver,Silver:12,$40,https://vikshaka.com/product/1020
VIK1021,Brooch,"Decorative brooch, metallic finish, stylish accessory for outfits",Vikshaka,Standard,"Gold,Silver","Gold:11, Silver:9",$25,https://vikshaka.com/product/1021
VIK1022,Hairband,"Elastic hairband, soft fabric, durable stretch, comfortable fit",Vikshaka,Standard,"Red,Blue","Red:13, Blue:12",$10,https://vikshaka.com/product/1022
VIK1023,Cufflinks,"Classic cufflinks, polished steel, elegant design for formal wear",Vikshaka,Standard,"Silver,Black","Silver:10, Black:8",$50,https://vikshaka.com/product/1023
VIK1024,Dupatta,"Silk dupatta, embroidered border, lightweight and soft touch",Vikshaka,Standard,"Red,Blue,Green","Red:12, Blue:10, Green:8",$35,https://vikshaka.com/product/1024
